PartNumber,PartName,Description,DamageCategory,risk_level,replacement_interval,boeing_targets,bombardier_targets,mro_targets,geo_targets
822-1821-332,MULTI MODE RECEIVER,"Part Number: 822-1821-332Description: ILS/GPS MULTI-MODE RECEIVER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
8061-888,MAIN ENGINE CONTROL,"Part Number: 8061-888Description: MAIN ENGINE CONTROL",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GG436-4004-5,VALVE ISOLATION,"Part Number: GG436-4004-5Description: VALVE ASSY ISOLATIO",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
GG436-2006-11,FLOW CONTROL VALVE,"Part Number: GG436-2006-11Description: FLOW CONTROL VALVE",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
GP422-1102-1,VALVE ASSY,"Part Number: GP422-1102-1Description: VALVE, AFT TANK WATER",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
GG435-3002-21,VALVE OUTFLOW,"Part Number: GG435-3002-21Description: OUTFLOW VALVE",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
2960041-101,CHECK VALVE,"Part Number: 2960041-101Description: CHECK VALVE, REFUEL/DEFUEL",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
GG436-2048-7,RAM AIR VALVE,"Part Number: GG436-2048-7Description: VALVE, RAM-AIR",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
GG433-1005-7,FAN AIR VALVE,"Part Number: GG433-1005-7Description: VALVE, FAN AIR",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
GG436-2036-3,TRIM AIR CHECK VALVE,"Part Number: GG436-2036-3Description: VALVE, CHECK, TRIM AIR",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
P21018,OXYGEN CHECK VALVE,"Part Number: P21018Description: VALVE, CHECK, OXYGEN",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
GP422-1405-3,VALVE ASSY,"Part Number: GP422-1405-3Description: VALVE ASSY, CHECK, FUEL SYSTEM",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
GD467-1802-13,TUBE ASSY,"Part Number: GD467-1802-13Description: WATER INJECTION TUBE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GD438-1405-5,TUBE ASSY,"Part Number: GD438-1405-5Description: TUBE ASSY, SENSE LINE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GD478-1136-1,TUBE ASSY,"Part Number: GD478-1136-1Description: TUBE ASSY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GD467-1803-13,TUBE ASSY,"Part Number: GD467-1803-13Description: TUBE ASSY, PDPS SENSING LINE (LH)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GM588-8665-5,TUBE ASSY,"Part Number: GM588-8665-5Description: TUBE ASSY, FUEL DRAIN",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GD428-1007-33,TUBE ASSY,"Part Number: GD428-1007-33Description: TUBE ASSY, (RH)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GM588-2651-1,TUBE ASSY,"Part Number: GM588-2651-1Description: TUBE ASSY FUEL",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GD428-1008-33,TUBE ASSY,"Part Number: GD428-1008-33Description: TUBE ASSY ENGINE FE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GD428-1011-33,TUBE ASSY,"Part Number: GD428-1011-33Description: TUBE ASSY ENGINE FE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GM588-8667-5,TUBE ASSY,"Part Number: GM588-8667-5Description: TUBE ASSY, FUEL",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GD428-1041-11,TUBE ASSY,"Part Number: GD428-1041-11Description: TUBE ASSY FUEL",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GD428-1039-13,TUBE ASSY,"Part Number: GD428-1039-13Description: TUBE ASSY, FUEL DUMP LINE, AUX TANK",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GD478-1104-9,TUBE ASSY,"Part Number: GD478-1104-9Description: TUBE ASSY, SUCTION NO.1",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
453-5004,TRANSMITTER ELT,"Part Number: 453-5004Description: EMERGENCY LOCATOR TRANSMITTER",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
15730-001,TOILET ASSY,"Part Number: 15730-001Description: TOILET ASSY, MAGAIR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
8400021-01,TELELINK,"Part Number: 8400021-01Description: UNIT, DATA LINK",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
15730-180,SWITCH,"Part Number: 15730-180Description: SWITCH, ALTITUDE PRESSURE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
2335-214,SWITCH,"Part Number: 2335-214Description: SWITCH ASSY PRESSUR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
8-416-02,PROXIMITY SWITCH,"Part Number: 8-416-02Description: PROXIMITY SWITCH ELECTRONICS UNIT (SYSTEM)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
979806-12,CONTROL VALVE,"Part Number: 979806-12Description: APU SURGE CONT VALVE",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
773856-19,CHECK VALVE,"Part Number: 773856-19Description: CHECK VALVE ASSY, INTERM PRESS",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
3885081-1,MODULE,"Part Number: 3885081-1Description: MODULE, FLOW SENSOR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
30-1521-6,POSLIGHT,"Part Number: 30-1521-6Description: LIGHT- REAR POSITION",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
3214304-4,VALVE,"Part Number: 3214304-4Description: HIGH STAGE MOD VALVE",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
71179-2,PITCH MANIFOLD ASSY,"Part Number: 71179-2Description: MANIFOLD ASSY-HYDRAULIC FUSE UNIT,LW",hydraulic_systems,High,"5,000hrs (efficiency < 80%)","Heavy operators (FedEx, UPS), High-utilization 737s",Regional high-frequency operators,"AAR Corp, StandardAero, Component repair specialists",High-cycle operations + temperature extremes
45040-1,STATOR AND ROTOR ASSY,"Part Number: 45040-1Description: ALTERNATOR STATOR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
2780539-107,ISOLATION VALVE,"Part Number: 2780539-107Description: 6-INCH BLEED AIR MANIFOLD ISOLATION VALV",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
2130161-101,OZONE CONVERTER,"Part Number: 2130161-101Description: CONVERTER - OZONE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
744041B,INTEGRATED DRIVE GENERATO,"Part Number: 744041BDescription: INTEGRATED DRIVE GENERATOR",hydraulic_systems,High,"5,000hrs (efficiency < 80%)","Heavy operators (FedEx, UPS), High-utilization 737s",Regional high-frequency operators,"AAR Corp, StandardAero, Component repair specialists",High-cycle operations + temperature extremes
2LA003968-00,LIGHT ANTICOLLISION,"Part Number: 2LA003968-00Description: LIGHT-ANTICOLLISION,BEACON",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
342B040000,THERMOSTAT CONTROL,"Part Number: 342B040000Description: TEMPERATURE CONTROL THERMOSTAT",air_conditioning,High,6 months (or ΔP > 4 inches H2O),"Desert operators, Hot climate airlines, Cargo (temp control)",Regional hot-climate operators,"Environmental systems specialists, Heavy MRO",Hot climates + cargo temperature-sensitive operations
65-73762-21,NLG ASSY,"Part Number: 65-73762-21Description: NOSE LANDING GEAR ASSY",landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
65C37849-34,TOPKITRE,"Part Number: 65C37849-34Description: TOP KIT - ICE & RAIN",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
2041446-0401,ANTENNA-WEATHER RADAR,"Part Number: 2041446-0401Description: ANTENNA-WEATHER RADAR",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
39-353,CONTROL VALVE,"Part Number: 39-353Description: VALVE CONTROL HYDRAULIC",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
735511A,CONSTANT SPEED DRIVE,"Part Number: 735511ADescription: CSD - CONSTANT SPEED DRIVE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
AL-5118,POWER SUPPLY,"Part Number: AL-5118Description: DIMMABLE PROTECTED PW SUPPLY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
9DR408176-01,FLASH TUBE ASSY,"Part Number: 9DR408176-01Description: FLASH TUBE ASSY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
BRR15817,"STRUT, THRUST","Part Number: BRR15817Description: STRUT ASSY THRUST",landing_gear,Extreme,200-300 landings (or tread depth < 2mm),"Southwest, Ryanair, American Airlines, Delta, United","SkyWest, Republic Airways, Jazz Aviation, Endeavor Air","Timco, ST Aerospace, Haeco Americas, AAR Corp","High-frequency routes (US domestic, Europe-Middle East)"
GM127-1562-1,SPACER,"Part Number: GM127-1562-1Description: SPACER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GM168-1700-22,SPOILERON,"Part Number: GM168-1700-22Description: INBOARD RIGHT SPOILERON",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GM127-1562-3,SPACER,"Part Number: GM127-1562-3Description: SPACER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
DT-A4BA-12,SPEAKER,"Part Number: DT-A4BA-12Description: SPEAKER ASSY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GM127-1852-1,SPACER,"Part Number: GM127-1852-1Description: SPACER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GM134-1501-2,PANEL ASSY,"Part Number: GM134-1501-2Description: PANEL ASSY",interior_components,Low,On-condition,"Low-cost carriers, High-density operators, Charter airlines","Regional airlines, Business aviation interiors","Timco, ST Aerospace, Interior specialists, MRO facilities",High-passenger-turnover routes + wear-intensive operations
CF34-10E6,ENGINE,"Part Number: CF34-10E6Description: ENGINE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
017766-01,SENSOR ASSY WATER,"Part Number: 017766-01Description: SENSOR, WATER LEVEL",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GM124-1402-3,SKIN ASSY,"Part Number: GM124-1402-3Description: SKIN ASSY PANEL LH",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GE534-0001-1,"BOX, AUTO SHUT-OFF","Part Number: GE534-0001-1Description: AUTO SHUT-OFF BOX",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
4015373-834,SERVO DRIVE,"Part Number: 4015373-834Description: SERVO DRIVE ASSEMBLY",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
980-4700-027,"RECORDER, FLIGHT DATA","Part Number: 980-4700-027Description: RECORDER, SOLID STATE FLIGHT DATA, SSFDR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
L20340,PUMP ASSY,"Part Number: L20340Description: PUMP ASSY WATER",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
GM127-1590-1,RAIL ASSY,"Part Number: GM127-1590-1Description: RAIL ASSY",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
S263-19DG,SEMI PROFILE,"Part Number: S263-19DGDescription: SLEEVE, SEMI PROFILE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
LT-45D,POWER SUPPLY,"Part Number: LT-45DDescription: POWER SUPPLY,LAMP DRIVER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GG431-2008-5,PLENUM,"Part Number: GG431-2008-5Description: PLENUM ASSY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GM417-0115-11,PIN ASSY,"Part Number: GM417-0115-11Description: PIN ASSY SPOILER PC",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
0856TT1,"TUBE, PITOT","Part Number: 0856TT1Description: PITOT STATIC TUBE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GG438-2078-1,PIPE ASSY,"Part Number: GG438-2078-1Description: PIPE ASSY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GM417-0115-3,PIN,"Part Number: GM417-0115-3Description: PIN SPOILER ACTUATO",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GG438-2077-3,PIPE ASSY,"Part Number: GG438-2077-3Description: PIPE ASSEMBLY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GM175-1821-27,PANEL ASSY,"Part Number: GM175-1821-27Description: PANEL, ACCESS (LH)",interior_components,Low,On-condition,"Low-cost carriers, High-density operators, Charter airlines","Regional airlines, Business aviation interiors","Timco, ST Aerospace, Interior specialists, MRO facilities",High-passenger-turnover routes + wear-intensive operations
GC722-0005-14,TRIM,"Part Number: GC722-0005-14Description: TRIM, SIDE INSTRUMENT (RH)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
GC542-0048-23,BLANK PANEL ASSY,"Part Number: GC542-0048-23Description: PANEL ASSY, BLANK",interior_components,Low,On-condition,"Low-cost carriers, High-density operators, Charter airlines","Regional airlines, Business aviation interiors","Timco, ST Aerospace, Interior specialists, MRO facilities",High-passenger-turnover routes + wear-intensive operations
GC515-0006-1,PANEL ASSY,"Part Number: GC515-0006-1Description: PANEL ASSY",interior_components,Low,On-condition,"Low-cost carriers, High-density operators, Charter airlines","Regional airlines, Business aviation interiors","Timco, ST Aerospace, Interior specialists, MRO facilities",High-passenger-turnover routes + wear-intensive operations
AL-2502,DIMMING INTERFACE,"Part Number: AL-2502Description: DIMMING INTERFACE",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
7510100-631,NAVIGATION UNIT,"Part Number: 7510100-631Description: ASSEMBLY, NAV UNIT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
622-8124-001,MOUNT ASSY,"Part Number: 622-8124-001Description: MOUNT, DUAL COUPLER SHOCK ISO LOW",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
3701B1-1,MONITOR ASSY,"Part Number: 3701B1-1Description: MONITOR ASSY HEATER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
MF10-08-01,OXYGEN MASK,"Part Number: MF10-08-01Description: OXYGEN MASK, CREW",interior_components,Low,On-condition,"Low-cost carriers, High-density operators, Charter airlines","Regional airlines, Business aviation interiors","Timco, ST Aerospace, Interior specialists, MRO facilities",High-passenger-turnover routes + wear-intensive operations
990-6813-001,"MODULE, CONTROLLER","Part Number: 990-6813-001Description: MODULE, CONTROLLER",air_conditioning,High,6 months (or ΔP > 4 inches H2O),"Desert operators, Hot climate airlines, Cargo (temp control)",Regional hot-climate operators,"Environmental systems specialists, Heavy MRO",Hot climates + cargo temperature-sensitive operations
980-6117-001,MICROPHONE,"Part Number: 980-6117-001Description: MICROPHONE MONITOR SYSTEM",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
770011,WATER FILTER,"Part Number: 770011Description: WATER MICROFILTRATION UNIT",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
8ES005045-00,POWER SUPPLY UNIT ANTICOL,"Part Number: 8ES005045-00Description: PSU-POWER SUPPLY UNIT,BEACON",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
746011L,CONTROL UNIT GENERATOR,"Part Number: 746011LDescription: CONTROL UNIT GENERATOR",hydraulic_systems,High,"5,000hrs (efficiency < 80%)","Heavy operators (FedEx, UPS), High-utilization 737s",Regional high-frequency operators,"AAR Corp, StandardAero, Component repair specialists",High-cycle operations + temperature extremes
321-400-603-0,SWITCH,"Part Number: 321-400-603-0Description: SWITCH, PIVOT DEPLOY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
60-4983-3,POWER SUPPLY,"Part Number: 60-4983-3Description: POWER SUPPLY, STROBE LIGHT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
TL10101-104,LATCH,"Part Number: TL10101-104Description: LATCH",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
1151968-1,CONTACTOR,"Part Number: 1151968-1Description: CONTACTOR, 290 AMP LATCHING",electrical_systems,High,2 years (or capacity < 80%),"All operators (safety critical), Aging fleet operators",Regional + business aviation electrical needs,"AAR Corp, StandardAero, Electrical component specialists",Harsh electrical environments + older aircraft
2061-15-1,POSITION INDICATOR,"Part Number: 2061-15-1Description: FLAP POSITION INDICATOR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
AE0607F00,FAN,"Part Number: AE0607F00Description: FAN ARINC",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
822-1338-003,ATC TRANSPONDER,"Part Number: 822-1338-003Description: TRANSPONDER ATC/MODE S",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
797147-10-002,CONTROL ASSY,"Part Number: 797147-10-002Description: UNIT, AIR SUPPLY CONTROL",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
10037-0750,INDICATOR,"Part Number: 10037-0750Description: INDICATOR - FUEL QUANTITY",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
5145-1-64,PANEL ASSY,"Part Number: 5145-1-64Description: PANEL ASSY, AUDIO CONTROL",interior_components,Low,On-condition,"Low-cost carriers, High-density operators, Charter airlines","Regional airlines, Business aviation interiors","Timco, ST Aerospace, Interior specialists, MRO facilities",High-passenger-turnover routes + wear-intensive operations
9000408-21,TRANSMITTER,"Part Number: 9000408-21Description: TRANSMITTER,FLAP POS",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
1153222-2,PRESSURE SENSOR,"Part Number: 1153222-2Description: SENSOR - PRESSURE, BLEED",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
RD-AX7360-02,AUDIO REPRODUCER,"Part Number: RD-AX7360-02Description: PRERECORDED ANOUNCEMENT & MUSIC",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
762187F,CONTROL UNIT,"Part Number: 762187FDescription: OUTLINE BUS POWER CONTROL UNIT",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
2040061-103,PRESSURE SWITCH,"Part Number: 2040061-103Description: SWITCH, DIFFERENTIAL PRESSURE FILTER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
285A1010-106,SMYD COMPUTER,"Part Number: 285A1010-106Description: STALL MANAGEMENT/YAW DAMPER (SMYD)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
2313M-347-4,WINDSCREEN WIPER MOTOR,"Part Number: 2313M-347-4Description: WINDSCREEN WIPER MOTOR CONVERTER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
3291766-2,VALVE-NGS,"Part Number: 3291766-2Description: VALVE, SHUTOFF, NGS",fuel_systems,High,"5,000hrs (flow < 90% spec)","FedEx, UPS, Atlas Air, Cargo Airlines, Desert operators","Jazz Aviation, Regional fuel system specialists","Lufthansa Technik, Air France Industries, Singapore Technologies","Harsh environments (desert, coastal) + long-haul operations"
8396-5,HORIZONTAL STABILIZER TRIM ACTUATOR,"Part Number: 8396-5Description: HSTA, ACTUATOR, HORIZONTAL STABILIZER TRIM",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
113T4100-402G,SPOILER,"Part Number: 113T4100-402GDescription: SPOILER, INBOARD, RH, NO. 7 AND 8",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
2520,BATTERY,"Part Number: 2520Description: BATTERY",electrical_systems,High,2 years (or capacity < 80%),"All operators (safety critical), Aging fleet operators",Regional + business aviation electrical needs,"AAR Corp, StandardAero, Electrical component specialists",Harsh electrical environments + older aircraft
C12351AA,ANTENNA,"Part Number: C12351AADescription: ANTENNA-ADF",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
267SV,AIR CHILLER,"Part Number: 267SVDescription: REFRIGERATION UNIT-AIR CHILLER",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
622-5136-202,ANTENNA PEDESTAL MOUNT,"Part Number: 622-5136-202Description: MOUNT-WEATHER RADAR ANTENNA DRIVE UNIT",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
285W0863-7,CABIN CONTROL PANEL,"Part Number: 285W0863-7Description: CABIN CONTROL PANEL MODULE AY",interior_components,Low,On-condition,"Low-cost carriers, High-density operators, Charter airlines","Regional airlines, Business aviation interiors","Timco, ST Aerospace, Interior specialists, MRO facilities",High-passenger-turnover routes + wear-intensive operations
63543-280-2,"INDICATOR, DISTANCE","Part Number: 63543-280-2Description: DISTANCE BEARING INDICATOR",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
735632-7,HYDRAULIC SY,"Part Number: 735632-7Description: HSMU-HYDRAULIC SYSTEM MONITORING UNIT",avionics,Moderate,2 years (or capacity < 80%),"Emirates, Qatar Airways, United, Lufthansa, Premium long-haul","NetJets, Flexjet, VistaJet, Business aviation","AAR Corp, StandardAero, Honeywell Aerospace, Collins Aerospace",Older fleets needing upgrades + EM interference environments
822-3158-001,PORTABLE DATA LOADER,"Part Number: 822-3158-001Description: PORTABLE DATA LOADER",flight_controls,Extreme,"5,000hrs (leak > 3 drops/hr)","All 737 operators (Southwest, Ryanair, American), All 777/787 operators","All CRJ operators (SkyWest, Republic), All Bombardier business jets","Safran Landing Systems, Lufthansa Technik, Collins Aerospace",Safety-critical universal demand + harsh environments
3945128218,ELEVATOR AILERON COMPUTER,"Part Number: 3945128218Description: COMPUTER, ELEVATOR AND AILERON (ELAC)",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
ADTS405F,AIR DATA TEST SET,"Part Number: ADTS405FDescription: AIR DATA TEST SYSTEM FLIGHT LINE",other,Unknown,On-condition,Unavailable,Unavailable,Unavailable,Unavailable
